Id,Name,SKU,Description,Price,Stock,CategoryId,IsActive,LucaId,Barcode,katana_product_id,katana_order_id,CreatedAt,UpdatedAt
75,NETSÝSTEN KONTROL 5056,14206-HRT 1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:41.0683420,2025-12-06 21:54:41.0683421
76,NETSÝSTEN KONTROL 5059,BORU ÇELÝK ÇEKME Ø6*1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:41.5658068,2025-12-06 21:54:41.5658069
77,NETSÝSTEN KONTROL 5050,8020 51469-C,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:41.6713523,2025-12-06 21:54:41.6713525
78,NETSÝSTEN KONTROL 5051,1-18447-KOVAN,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:41.8675668,2025-12-06 21:54:41.8675671
79,NETSÝSTEN KONTROL 5058,çelik çekme boru Ø6,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:42.5867408,2025-12-06 21:54:42.5867410
80,NETSÝSTEN KONTROL 5055,A1121-EM,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:43.5021298,2025-12-06 21:54:43.5021299
81,NETSÝSTEN KONTROL 5054,1-1020-KOVAN,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:44.9657470,2025-12-06 21:54:44.9657471
82,NETSÝSTEN KONTROL 5045,32 11 00100 05-08,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:45.6668004,2025-12-06 21:54:45.6668006
83,NETSÝSTEN KONTROL 5047,8020 51469-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:45.8004305,2025-12-06 21:54:45.8004306
84,NETSÝSTEN KONTROL 5048,XLH.622003-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:46.7866014,2025-12-06 21:54:46.7866015
85,NETSÝSTEN KONTROL 5049,CSC.622022.AHA-PSL-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:47.4831583,2025-12-06 21:54:47.4831584
86,NETSÝSTEN KONTROL 5043,32 11 00100 05-06,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:47.7958075,2025-12-06 21:54:47.7958076
87,NETSÝSTEN KONTROL 5046,8020 51468-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.0646588,2025-12-06 21:54:48.0646589
88,NETSÝSTEN KONTROL 5044,32 11 00100 05-07,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.3657977,2025-12-06 21:54:48.3657978
89,NETSÝSTEN KONTROL 5040,32 11 00100 05-03,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.5200133,2025-12-06 21:54:48.5200134
90,NETSÝSTEN KONTROL 5041,32 11 00100 05-04,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.7349843,2025-12-06 21:54:48.7349844
91,NETSÝSTEN KONTROL 5042,32 11 00100 05-05,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.7611525,2025-12-06 21:54:48.7611526
92,NETSÝSTEN KONTROL 5039,32 11 00100 05-02,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.7787063,2025-12-06 21:54:48.7787064
93,NETSÝSTEN KONTROL 5037,RAPRO-RENULT BORU,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.7862312,2025-12-06 21:54:48.7862313
94,NETSÝSTEN KONTROL 5038,32 11 00051 03-02,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.8181797,2025-12-06 21:54:48.8181798
95,NETSÝSTEN KONTROL 5036,OR-AA30-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.8474755,2025-12-06 21:54:48.8474757
96,NETSÝSTEN KONTROL 5035,OIU-AA19-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.8991635,2025-12-06 21:54:48.8991636
97,NETSÝSTEN KONTROL 5034,1-130040 CEKIRDEK,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:48.9855231,2025-12-06 21:54:48.9855233
98,NETSÝSTEN KONTROL 5033,Y16-NP-B12/41,5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.0371427,2025-12-06 21:54:49.0371428
99,NETSÝSTEN KONTROL 5032,OTOSAN-INYON,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.0642275,2025-12-06 21:54:49.0642276
100,NETSÝSTEN ADINA BAK,SUNLINE180...300-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.1293236,2025-12-06 21:54:49.1293237
101,NETSÝSTEN KONTROL ÝSÝM,OIO-AA17-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.1504466,2025-12-06 21:54:49.1504467
102,NETSÝSTEN KATEGORÝ VE ÝSÝM KONTROL2,9320116,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.1802121,2025-12-06 21:54:49.1802122
103,netsisten kontrol,Y28-YZ-CAP23,5-KLM-32 YF88107,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.2136096,2025-12-06 21:54:49.2136096
104,netsisten sor,XLH.622003-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.2318757,2025-12-06 21:54:49.2318758
105,NETSÝSTEN KONTROL7,32 11 00100 05-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.3179797,2025-12-06 21:54:49.3179799
106,NETSÝSTEN KONTROL4,19204-T-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.3966133,2025-12-06 21:54:49.3966134
107,NETSÝSTEN KONTROL5,19355-T-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.4491310,2025-12-06 21:54:49.4491311
108,NETSÝSTEN KONTROL3,13R35-08874-AA-EM BORU,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.4807631,2025-12-06 21:54:49.4807632
109,NETSÝSTEN KONTROL10,8020 51468-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.5165556,2025-12-06 21:54:49.5165557
110,NETSÝSTEN KONTROL6,32 11 00051 03-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.5474421,2025-12-06 21:54:49.5474423
111,NETSÝSTEN KONTROL9,8020 50815-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.5974179,2025-12-06 21:54:49.5974180
112,NETSÝSTEN KONTROL11,9310027,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:49.6190308,2025-12-06 21:54:49.6190309
113,BANJO RAPRO,Y32-BJ-B15/42,5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.0986123,2025-12-06 21:54:50.0986123
114,NÝPEL RAPRO,Y20-NP-B15/42,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.1315760,2025-12-06 21:54:50.1315761
115,7/6" DOLU YÜZÜK,Y30-YZ-5/8-25,5-32-AKIMSIZ N,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.1861853,2025-12-06 21:54:50.1861854
116,M30*2 UÇ HAVÞA (SAFKAR),Y28P-620-M30x2/22,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.2463338,2025-12-06 21:54:50.2463341
117,BÜKÜMLÜ BORU 2,XLC.622014.AEB-PSL-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.3170179,2025-12-06 21:54:50.3170181
118,2 MM KAPAK,XLH.622002-KAPAK,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.4485299,2025-12-06 21:54:50.4485300
119,Ø20*1 PASLANMAZ,XLH.622003-D,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.4950311,2025-12-06 21:54:50.4950313
121,BÜKÜMLÜ BORU 1,XLC.622014.AEB-PSL-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.5845721,2025-12-06 21:54:50.5845721
122,DÜZ BORU 1,XLC.622014.ACB-PSL-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.6157326,2025-12-06 21:54:50.6157327
123,DÜZ BORU 2,XLC.622014.ACB-PSL-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.6940355,2025-12-06 21:54:50.6940355
124,BÜKÜMLÜ BORU,VIT-249-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.7148463,2025-12-06 21:54:50.7148464
126,WEBASTO KONTRA SOMUN,AA19P-621-5/8-18UNF/7,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.8141527,2025-12-06 21:54:50.8141528
127,BUKUMLU BORU,KBEX0205-C,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.8830735,2025-12-06 21:54:50.8830736
129,CNC SOMUN,EDEL-SOMUN-8,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:50.9681620,2025-12-06 21:54:50.9681621
134,RAKOR O-RÝNGLÝ 5/8-18 DÝÞ,AA19P-621-5/8-18UNF/25,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:51.3837900,2025-12-06 21:54:51.3837901
135,SOMUN HAVÞALI 7/8-14 UNF,AA30P-621-7/8-14UNF/23,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:51.4476310,2025-12-06 21:54:51.4476311
136,M30*2 UÇ HAVÞA SOMUNU,AA36P-620-M30x2/26,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:51.4844651,2025-12-06 21:54:51.4844651
138,A1170 BÜKÜMLÜ ALÜM. BORU,A1170-EM,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:51.6185226,2025-12-06 21:54:51.6185229
143,KOMPLE,A1131/A-T-EM,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.0325416,2025-12-06 21:54:52.0325417
146,RACOR 7/16"-20 UNUF,9340004-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.1801706,2025-12-06 21:54:52.1801707
148,TUBO ALTA GAZ VALVULA ATIRRETORNO C1,93278092_TMS,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.3184587,2025-12-06 21:54:52.3184589
149,TUBO ALTA LIQUIDO BORU,93278102_TMS,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.3789521,2025-12-06 21:54:52.3789522
150,TUBO PREMONTAJE BAT,9327820_1-TMS,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.4305943,2025-12-06 21:54:52.4305944
152,TUBO CU,9328197-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.6660294,2025-12-06 21:54:52.6660295
153,TUBO VALVULA EXPANSION CABINA,9328535-3,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:52.7316274,2025-12-06 21:54:52.7316275
155,TUBO GAS BORU,9327815_2-TMS,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:53.2008502,2025-12-06 21:54:53.2008503
159,TUBO BAJA KABINA/LOW PRESSURE TUBE,9327647-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:53.4967107,2025-12-06 21:54:53.4967108
160,TUBO ALTA GAS VALVULA ANTIRRETORNO C1-1,9328537-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:53.5812327,2025-12-06 21:54:53.5812329
171,PIPO BORU,6543685-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:54.4966116,2025-12-06 21:54:54.4966117
175,DÜZ BORU,7043 47931-B,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:57.5572401,2025-12-06 21:54:57.5572402
176,ANA GOVDE,6543682-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:57.7221771,2025-12-06 21:54:57.7221772
184,PIPE,3382011832,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:58.7565255,2025-12-06 21:54:58.7565256
193,Ø12 BAKIR BORU,32 11 00125 04-02,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:59.8431062,2025-12-06 21:54:59.8431063
197,Ø10 BAKIR BORU,32 11 00070 03-02,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:00.6778202,2025-12-06 21:55:00.6778203
204,Ø16 BAKIR BORU,29 02 00328 00-02,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:01.2787027,2025-12-06 21:55:01.2787029
213,Ø10 ALÜM. BORU,29 02 00252 01-02,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:01.9388988,2025-12-06 21:55:01.9388988
218,Ø6*1 BORU,1-23760-BORU,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:02.5545821,2025-12-06 21:55:02.5545822
219,TUBO BAJA GAS COMPRESOR C2-1,30211,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:02.6456240,2025-12-06 21:55:02.6456241
220,8*1 Ç ÇEKME BORU,1-110535-A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:02.7216476,2025-12-06 21:55:02.7216480
221,TUBO ALTA GAS COMPRESOR C1-1,30176,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:02.8234617,2025-12-06 21:55:02.8234619
224,M14*1,5 SOMUN,1-108761-SOMUN,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.0466367,2025-12-06 21:55:03.0466368
225,Y10 CEKIRDEK,1-23760-CEKIRDEK,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.0735741,2025-12-06 21:55:03.0735742
226,30189 - TUBO ALTA LIQ VALVULA-FILTRO-VISOR C3,YRM H11 02 206,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.0933260,2025-12-06 21:55:03.0933265
227,PRESLEME,YV88107-T,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.1225029,2025-12-06 21:55:03.1225031
228,PRESLEME - AKIMSIZ NÝKEL,YF92113-T-AKIMSIZ NÝKEL,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.1600104,2025-12-06 21:55:03.1600105
230,Ø25*1,5 BORU,TF0808,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.2271790,2025-12-06 21:55:03.2271791
231,Ø23*1,5 BORU,TF0648.6,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.2610306,2025-12-06 21:55:03.2610307
232,Ø16*2 ALUMINYUM BORU,T14AA5001-GIRIS,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.4948864,2025-12-06 21:55:03.4948864
237,HEATING LINE PIPE 20X16X20 - PASLANMAZ,XLC.622014.AEB-PSL,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.6574186,2025-12-06 21:55:03.6574187
238,HEATING LINE PIPE  (KARSAN) - PASLANMAZ,XLC.622014.ABB-PSL,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.6781674,2025-12-06 21:55:03.6781675
239,SU DAGITICI,XLH.622003.AA_A,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.7034948,2025-12-06 21:55:03.7034949
240,PIPE-DELTA PRESSURE,XLD.123301.BA,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.7272823,2025-12-06 21:55:03.7272824
244,PIPE D.22   (KARSAN) - PASLANMAZ,CSC.622022.AGA-PSL,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.8209507,2025-12-06 21:55:03.8209508
246,Ø18x2 HAVA BORUSU,KP2147274,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.8620896,2025-12-06 21:55:03.8620897
253,PIPE D.16  (KARSAN) - PASLANMAZ,CSC.622016.DA-PSL,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:03.9930469,2025-12-06 21:55:03.9930470
254,Ø40 ÇEKME BÜKÜMLÜ BORU,BMW E30 SOL,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:04.0070223,2025-12-06 21:55:04.0070224
255,Ø28x2 HAVA BORUSU,8.271.0.919.003.5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:04.0231222,2025-12-06 21:55:04.0231223
256,Ø28*2 PASLANMAZ BORU,8_181-ISCILIK,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:04.0373621,2025-12-06 21:55:04.0373622
257,EJECTOR CONE,983262,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:04.0538789,2025-12-06 21:55:04.0538790
259,MOBILYA AYAÐI - Profil Yüzük,ADAS-03,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:55:04.0796757,2025-12-06 21:55:04.0796758
